Time,CH1_mV,CH2_mV
1.005,-0.031815,0.003608
1.01,0.002609,-0.005845
1.015,0.015554,0.006114
1.02,-0.009094,-0.0067
1.025,0.010427,-0.015161
1.03,-0.004989,-0.00631
1.035,0.001048,0.002111
1.04,0.000552,0.011348
1.045,0.003421,-0.00315
1.05,-0.018163,0.007218
1.055,0.007922,0.014508
1.06,-0.011212,0.000264
1.065,-0.00088,-0.000876
1.07,0.000156,-0.017145
1.075,0.012375,0.006532
1.08,0.016957,0.022496
1.085,-0.004785,-0.000361
1.09,0.000147,0.019422
1.095,-0.025968,0.004858
1.1,-0.022062,-0.025816
1.105,-0.030312,-0.013818
1.11,0.016035,-0.008684
1.115,-0.003412,-0.011635
1.12,0.009164,-0.01102
1.125,0.019765,-0.009931
1.13,-0.011472,0.001227
1.135,0.000371,0.014247
1.14,0.001806,-0.012078
1.145,-0.008405,-0.005728
1.15,0.010876,0.003838
1.155,-0.001791,0.008696
1.16,-0.007927,-0.001362
1.165,0.002711,0.015282
1.17,-0.001478,-0.003508
1.175,-0.015688,0.006861
1.18,-0.008815,0.003437
1.185,-0.028524,0.010432
1.19,-0.019979,-0.007773
1.195,0.015879,-0.013345
1.2,-0.001192,0.000743
1.205,-0.014978,0.013429
1.21,0.022482,-0.019716
1.215,-0.021735,0.008082
1.22,-0.019545,-0.003886
1.225,0.001943,0.006919
1.23,-0.003349,0.000952
1.235,-0.011651,0.012924
1.24,-0.00743,0.003397
1.245,-0.007675,0.001063
1.25,-0.002522,-0.001625
1.255,-0.015207,0.007964
1.26,0.021211,0.002431
1.265,0.010985,0.008381
1.27,0.01392,0.003034
1.275,0.003184,0.00864
1.28,0.001032,-0.009739
1.285,0.000358,-0.018884
1.29,-8.9e-05,0.004134
1.295,0.01854,0.001513
1.3,0.013922,-5e-06
1.305,-0.015352,-0.014114
1.31,-0.014546,-0.013661
1.315,0.009506,-0.002076
1.32,0.008555,0.000734
1.325,0.015661,0.010602
1.33,-0.00968,-0.002743
1.335,-0.007992,-0.016213
1.34,0.010128,0.011888
1.345,-9.6e-05,-0.004932
1.35,0.016364,-0.02345
1.355,0.002662,0.001433
1.36,-0.008563,0.013916
1.365,0.014561,-0.002612
1.37,-0.0013,-0.00388
1.375,-0.007682,-0.013082
1.38,0.020699,0.01028
1.385,0.011972,-0.010943
1.39,0.031213,0.019802
1.395,0.002821,-0.009042
1.4,-0.012996,0.004185
1.405,-0.013695,-0.000342
1.41,0.01633,-0.015068
1.415,0.030086,0.015667
1.42,-0.018556,-0.014136
1.425,-0.004251,-0.010311
1.43,-0.003956,-0.025812
1.435,-0.003431,0.018029
1.44,-0.016749,-0.002731
1.445,-0.022344,0.006382
1.45,-0.00338,0.019407
1.455,0.003103,-0.003722
1.46,0.008254,-0.005062
1.465,-0.02009,0.003019
1.47,-0.002623,0.001663
1.475,0.005632,-0.005103
1.48,0.006324,0.017377
1.485,-0.016617,0.017374
1.49,-0.003642,-0.007666
1.495,0.036408,0.00155
1.5,0.020556,0.008176
1.505,-0.025209,0.001208
1.51,-0.00788,-0.013418
1.515,-0.026576,0.001023
1.52,0.008854,0.003907
1.525,-0.004587,-0.007985
1.53,-0.014803,-0.005552
1.535,-0.015496,-0.002033
1.54,-0.000343,-0.00896
1.545,-0.003481,-0.007603
1.55,-6.7e-05,0.005071
1.555,0.002672,0.004722
1.56,-0.02478,-0.003787
1.565,0.004151,0.006412
1.57,-0.02397,0.001592
1.575,0.018096,-0.001786
1.58,-0.001421,0.004505
1.585,0.003707,0.006746
1.59,0.001086,0.001525
1.595,-0.011737,-0.001704
1.6,0.018797,-0.002042
1.605,-0.002528,-0.004915
1.61,0.011808,-0.008547
1.615,0.013658,-0.00937
1.62,-0.015867,0.002059
1.625,0.001953,0.002976
1.63,0.015938,-0.004125
1.635,0.006645,-0.009098
1.64,0.018888,0.006325
1.645,0.008048,0.001879
1.65,-0.011784,-0.003274
1.655,0.007527,-0.000192
1.66,0.001856,-0.013598
1.665,0.002716,-0.006919
1.67,-0.01625,-0.001547
1.675,-0.027848,0.006986
1.68,0.01278,-0.000534
1.685,-0.014907,-0.009454
1.69,-0.002267,-0.024237
1.695,0.002707,0.006644
1.7,-0.004678,-0.004944
1.705,0.00273,0.003506
1.71,0.016412,0.000184
1.715,-0.010346,-0.004613
1.72,0.002729,0.015562
1.725,-0.004804,-0.010525
1.73,-0.013052,-0.020963
1.735,0.004947,-0.013613
1.74,-0.018503,-0.01976
1.745,-0.01677,0.005684
1.75,-0.01967,-0.017496
1.755,0.002674,-0.003412
1.76,0.006483,0.007406
1.765,-0.000127,-0.012978
1.77,-0.001857,0.005003
1.775,-0.008745,-0.014375
1.78,0.016539,-0.004152
1.785,-0.006138,0.00016
1.79,0.015457,0.002636
1.795,-0.004998,0.006821
1.8,0.032205,0.013878
1.805,0.010093,-0.011223
1.81,0.056281,-0.011987
1.815,-0.005577,-0.006999
1.82,0.024403,0.004202
1.825,-0.021407,0.002676
1.83,0.008204,-0.003185
1.835,-0.018303,-0.00725
1.84,-0.006553,0.000227
1.845,-0.007799,0.007352
1.85,-0.014249,-0.017314
1.855,-0.011091,0.013489
1.86,-0.008597,0.023408
1.865,0.007372,-0.011644
1.87,-0.012514,0.002434
1.875,-0.017665,0.023746
1.88,-0.014863,0.006809
1.885,0.021902,-0.001092
1.89,-0.014938,-0.002731
1.895,0.005433,0.008758
1.9,0.000851,-0.014002
1.905,0.000635,-0.006734
1.91,-0.032749,-0.006976
1.915,-0.021487,0.005869
1.92,0.029162,0.018588
1.925,-0.008598,-0.004674
1.93,0.010332,0.010613
1.935,-0.006281,-0.001426
1.94,0.033104,-0.001075
1.945,-0.00728,0.001199
1.95,0.008696,-0.010216
1.955,-0.003726,-0.011664
1.96,-0.004174,0.018769
1.965,0.011126,-0.000925
1.97,-0.013997,-0.003114
1.975,0.015761,-0.005617
1.98,0.021756,-0.013736
1.985,-0.004351,0.017428
1.99,-0.030118,0.011884
1.995,-0.027771,-0.000901
2.0,-0.002588,0.008243
2.005,-0.047318,-0.019178
2.01,-0.00849,0.000369
2.015,-0.013398,-0.002209
2.02,-0.017793,-0.004013
2.025,-0.012701,0.00244
2.03,0.008721,0.014329
2.035,-0.009846,-0.00318
2.04,0.000716,-0.002949
2.045,-0.00078,-0.015622
2.05,0.005576,-0.009152
2.055,-0.014354,-0.015881
2.06,0.017415,-0.001406
2.065,0.017242,0.002723
2.07,-0.02555,-0.010837
2.075,0.011369,-0.007657
2.08,-0.016355,-0.001794
2.085,-0.002655,-0.010119
2.09,-0.004892,-0.004785
2.095,-0.03885,0.005027
2.1,-0.012171,0.013044
2.105,-0.017252,-0.015796
2.11,0.017814,-0.015851
2.115,-0.009543,0.005973
2.12,-0.004945,-0.016555
2.125,0.002821,-0.001943
2.13,0.019258,0.005886
2.135,0.045536,-0.016459
2.14,-0.000325,-0.010667
2.145,0.017321,0.008218
2.15,0.011311,-0.007773
2.155,-0.011177,-0.020297
2.16,0.025643,0.005082
2.165,-0.003913,0.009335
2.17,0.011264,0.009753
2.175,-0.024353,-0.007138
2.18,0.002932,0.003554
2.185,0.014359,-0.010086
2.19,0.001908,0.022054
2.195,0.010379,0.008706
2.2,-0.000288,0.007676
2.205,0.02706,0.001066
2.21,0.01836,-0.008751
2.215,0.008851,0.009042
2.22,-0.01128,0.010981
2.225,-0.010129,-0.008052
2.23,-1.8e-05,0.01932
2.235,0.004637,0.009358
2.24,-0.010977,0.000775
2.245,-0.017648,-0.005711
2.25,0.012535,-0.000384
2.255,0.021769,-0.002024
2.26,-0.002969,0.012767
2.265,-0.009729,-0.015198
2.27,0.019519,0.004142
2.275,-0.032478,0.000445
2.28,-0.006057,0.017448
2.285,-0.010935,-0.005808
2.29,-0.013656,-0.010541
2.295,-0.010507,-0.014359
2.3,-0.015468,-0.016066
2.305,-0.022459,-0.015597
2.31,-0.007817,-0.006837
2.315,-0.018397,0.004783
2.32,-0.000721,-0.00432
2.325,-0.00696,0.015929
2.33,0.003597,0.004754
2.335,-0.038791,-0.006537
2.34,-0.032565,-0.004262
2.345,0.0056,-0.006743
2.35,0.007779,-0.010227
2.355,0.008637,-0.015536
2.36,-0.003925,0.004198
2.365,0.008039,-0.001273
2.37,0.029096,-0.004144
2.375,-0.006765,-0.027595
2.38,0.026534,-0.00369
2.385,-0.01764,0.013209
2.39,0.018533,0.001083
2.395,-0.021524,0.00419
2.4,-0.009321,-0.011708
2.405,0.015651,-0.021326
2.41,0.008507,0.004594
2.415,0.030765,0.003252
2.42,-0.030876,-0.008361
2.425,0.00097,0.003556
2.43,0.014712,-0.019597
2.435,-0.004949,0.009699
2.44,0.02316,0.01861
2.445,-0.005853,0.010976
2.45,0.025676,0.011981
2.455,0.010855,0.008278
2.46,-0.011848,-0.014472
2.465,0.014743,-0.003471
2.47,-0.000422,-0.005787
2.475,-0.005894,0.002327
2.48,-0.015328,0.000685
2.485,0.003691,-0.000774
2.49,-0.011154,0.007866
2.495,0.02809,-0.006012
2.5,0.018517,0.008893
2.505,-0.039799,-0.007612
2.51,-0.009538,0.007818
2.515,0.002827,0.004744
2.52,0.009544,-0.008989
2.525,-0.011198,-0.012229
2.53,-0.002554,-0.001191
2.535,0.002568,-0.007273
2.54,0.013598,0.009171
2.545,0.023198,0.007113
2.55,0.002783,0.006724
2.555,0.009146,-0.006518
2.56,0.019341,0.017185
2.565,0.029654,0.000352
2.57,0.004864,0.004164
2.575,-3.8e-05,0.006193
2.58,-0.001818,-0.001938
2.585,0.026385,0.001647
2.59,0.001005,0.00882
2.595,0.002255,0.002916
2.6,-0.000953,-0.012204
2.605,-0.000465,-0.011369
2.61,0.003152,-0.011814
2.615,0.013751,0.007492
2.62,0.004206,-0.001001
2.625,0.006245,-0.01965
2.63,-0.016452,-0.001487
2.635,0.005179,-0.000794
2.64,-0.015069,0.001334
2.645,-0.006806,-0.010686
2.65,0.004943,-0.0021
2.655,0.017947,0.006655
2.66,0.01102,0.003217
2.665,-0.012678,-0.009356
2.67,-0.022067,0.02879
2.675,-0.016192,-0.002098
2.68,-0.005406,-0.002811
2.685,-0.008761,-0.018683
2.69,-0.014973,-0.013907
2.695,-0.001902,-0.006842
2.7,-0.010308,0.002159
2.705,-0.008742,0.009321
2.71,-0.005793,0.002252
2.715,-0.019879,0.006569
2.72,-0.006078,0.004088
2.725,0.00495,-0.001734
2.73,0.003262,-0.003853
2.735,0.020192,0.009343
2.74,0.007237,-0.011801
2.745,-0.01649,-0.006639
2.75,-0.003675,0.00448
2.755,-0.013448,0.011771
2.76,5.4e-05,-0.020128
2.765,-0.00713,-0.025852
2.77,-0.011276,-0.005491
2.775,-0.009156,-0.003253
2.78,-0.005912,-0.005937
2.785,0.022537,0.012149
2.79,-0.017128,0.012539
2.795,-0.024321,-0.008146
2.8,0.022878,-0.022396
2.805,0.008622,-0.012535
2.81,-0.00216,-0.001802
2.815,0.025458,-0.008106
2.82,-0.001035,0.00627
2.825,-0.003777,-0.008221
2.83,-0.000888,0.000935
2.835,0.013261,-0.009431
2.84,-0.006737,0.003229
2.845,-0.002508,-0.001853
2.85,-0.000255,-0.006958
2.855,-0.011995,0.004407
2.86,-0.016427,0.011654
2.865,0.00326,-0.012765
2.87,0.004245,0.001673
2.875,0.011432,0.011588
2.88,-0.005496,-0.007078
2.885,-0.00909,-0.009811
2.89,-0.011197,0.002845
2.895,0.000229,-0.004914
2.9,-0.011074,0.003479
2.905,-0.007524,-0.010402
2.91,-0.002275,-0.002645
2.915,-0.016051,0.008272
2.92,0.01269,0.000409
2.925,0.001966,0.005273
2.93,-0.000464,0.008913
2.935,0.02484,0.000805
2.94,0.006604,0.008735
2.945,-0.005071,-0.011283
2.95,0.01359,-0.015688
2.955,0.026833,0.008704
2.96,0.002815,0.000511
2.965,0.02627,-0.009462
2.97,-0.017403,-0.005981
2.975,-0.003927,-0.010065
2.98,0.002308,0.001359
2.985,-0.012208,0.016031
2.99,-0.020881,-0.012767
2.995,0.005642,-0.002075
3.0,0.006266,-0.00619
3.005,-0.0155,-0.006455
3.01,-0.010254,0.00525
3.015,-0.007199,0.007614
3.02,0.008821,0.010406
3.025,0.013511,0.007844
3.03,0.011548,-0.005167
3.035,-0.003928,-0.018301
3.04,0.004376,-0.006738
3.045,0.006023,0.005275
3.05,-0.020281,-0.010138
3.055,-0.00524,-0.005176
3.06,0.002505,-0.011554
3.065,0.000708,-0.016885
3.07,-0.032327,0.007167
3.075,-0.01958,-0.005599
3.08,-0.02126,-0.014089
3.085,-0.005983,-0.004101
3.09,0.014739,0.004495
3.095,-0.003917,0.007577
3.1,0.016748,0.004113
3.105,-0.006095,0.010186
3.11,0.026528,0.006605
3.115,0.02656,0.009266
3.12,0.012733,-0.010902
3.125,-0.016703,-0.000495
3.13,-0.025042,-0.00593
3.135,0.01301,-0.006652
3.14,0.007998,-0.013513
3.145,-0.007405,0.010234
3.15,0.003128,0.002903
3.155,0.025571,0.012968
3.16,-0.013153,0.013179
3.165,-0.009229,-0.000176
3.17,0.000228,0.01073
3.175,-0.016939,0.004519
3.18,0.00786,0.008115
3.185,-0.003156,0.010034
3.19,-0.010673,0.011471
3.195,0.005284,-0.014001
3.2,0.006119,0.001793
3.205,-0.005335,-0.007363
3.21,-0.003603,-0.014422
3.215,0.025361,-0.011283
3.22,-0.009919,0.011449
3.225,0.008775,0.007202
3.23,0.022751,-0.003121
3.235,-0.015697,0.008443
3.24,0.011944,-0.003269
3.245,-0.018984,0.012392
3.25,0.008638,-0.013735
3.255,0.011699,-0.01441
3.26,-0.007239,-0.011233
3.265,-0.009567,-0.008333
3.27,-0.0092,0.007243
3.275,0.004419,0.006287
3.28,0.016385,-0.003727
3.285,0.001198,0.005382
3.29,0.025601,0.008991
3.295,0.020723,0.01019
3.3,0.015859,-0.017847
3.305,0.013213,0.002129
3.31,0.000813,-0.005273
3.315,-0.006379,0.004162
3.32,0.0126,-0.014978
3.325,0.003272,-0.005607
3.33,-0.014262,0.003926
3.335,-0.004931,-0.00659
3.34,-0.011537,0.002813
3.345,-0.000151,-0.010916
3.35,-0.012615,-0.001825
3.355,0.006077,-0.010497
3.36,0.007322,-0.00824
3.365,0.040916,-0.00941
3.37,-0.011852,0.00194
3.375,-0.013536,0.008276
3.38,0.027021,-0.003876
3.385,0.002592,-0.005178
3.39,-0.0,0.014317
3.395,0.013414,-0.009042
3.4,0.023189,0.011621
3.405,0.007296,-0.006592
3.41,0.000986,-0.007955
3.415,0.007014,-0.003165
3.42,-0.033524,0.009262
3.425,0.002872,0.010785
3.43,-0.002043,0.001885
3.435,0.01673,0.003878
3.44,0.00432,0.032144
3.445,-0.002535,0.001692
3.45,0.02601,-0.00805
3.455,-0.015615,-0.014321
3.46,0.008005,0.006256
3.465,0.011122,-0.013536
3.47,0.015088,0.011973
3.475,-0.00146,0.000326
3.48,0.010134,0.003671
3.485,0.00963,-0.010861
3.49,-0.002619,-0.012125
3.495,0.009469,0.005302
3.5,-0.001482,0.002968
3.505,-0.023348,0.008579
3.51,-0.007009,0.001291
3.515,0.016731,-0.007565
3.52,0.017959,0.001241
3.525,0.000423,0.00556
3.53,-0.018705,0.005941
3.535,0.000923,0.010363
3.54,-0.003252,-0.003633
3.545,0.005545,-0.000594
3.55,-0.01761,-0.00194
3.555,0.019014,-0.000931
3.56,-0.013057,0.007159
3.565,-0.027802,-0.021203
3.57,-6.2e-05,0.001809
3.575,0.003306,-0.008928
3.58,-0.002257,-0.013987
3.585,0.003293,-0.016153
3.59,-0.002239,0.002616
3.595,-0.026349,-0.005225
3.6,0.011822,0.01549
3.605,-0.022559,0.003399
3.61,-0.018539,-0.013453
3.615,0.023941,0.006682
3.62,-0.012063,0.00219
3.625,0.009629,0.001813
3.63,0.033709,0.006058
3.635,-0.044895,-0.002902
3.64,-0.011049,-0.002041
3.645,0.000202,-0.006511
3.65,-0.016274,0.013634
3.655,0.00896,-0.006707
3.66,0.010195,0.006752
3.665,0.01901,-0.010553
3.67,0.011698,-0.006078
3.675,0.017326,-0.001924
3.68,-0.034077,0.000354
3.685,-0.026762,-0.002171
3.69,-0.000873,-0.004013
3.695,-0.022304,-0.011157
3.7,-0.012669,-0.002481
3.705,0.019327,0.007091
3.71,-0.007083,0.012739
3.715,-0.020521,0.00685
3.72,-0.002629,0.002363
3.725,0.009577,-0.006796
3.73,0.012017,-9.3e-05
3.735,0.036177,-0.003043
3.74,0.019038,0.006471
3.745,-0.017612,0.013606
3.75,-0.015906,-0.02232
3.755,0.0128,0.01069
3.76,0.00078,-0.00261
3.765,0.023755,0.007119
3.77,-0.009838,0.007315
3.775,-0.018649,-0.00559
3.78,-0.015767,-0.022
3.785,-0.017659,0.012223
3.79,-0.016467,-0.0055
3.795,-0.017415,0.008656
3.8,1.8e-05,0.004907
3.805,-0.001585,-0.01171
3.81,-0.014609,0.008373
3.815,-0.000861,0.007744
3.82,-0.047439,0.011101
3.825,-0.00741,0.021729
3.83,-0.007661,0.000283
3.835,0.009906,-0.008758
3.84,0.013091,-0.006452
3.845,0.019337,0.007932
3.85,0.007435,-0.007242
3.855,-0.003159,0.002999
3.86,-0.0305,-0.005517
3.865,0.014071,-0.012682
3.87,0.019185,-0.006283
3.875,0.004849,-0.011477
3.88,0.007266,0.004627
3.885,0.017046,0.013541
3.89,0.018803,0.002089
3.895,-0.018392,0.013238
3.9,-0.019562,-0.004387
3.905,0.011057,0.004436
3.91,0.023896,-4.1e-05
3.915,-0.025351,-0.002753
3.92,0.002611,-0.003506
3.925,0.021187,-0.002476
3.93,-0.021538,0.004668
3.935,-0.017215,0.016999
3.94,0.004051,-0.014033
3.945,0.016191,0.023692
3.95,-0.030061,0.009031
3.955,0.00726,0.001757
3.96,0.00515,0.004919
3.965,-0.010395,0.01411
3.97,-0.020243,0.019586
3.975,0.022915,-0.011861
3.98,-8.1e-05,0.014199
3.985,-0.007365,-0.001624
3.99,-0.006036,0.011675
3.995,-0.009115,-9.8e-05
4.0,0.008103,-0.002076
4.005,-0.012996,-0.013415
4.01,-0.022774,-0.011798
4.015,-0.025808,-0.007269
4.02,0.004503,0.000541
4.025,-0.012399,-0.01018
4.03,-0.014901,-0.013879
4.035,-0.018538,0.007144
4.04,-0.021069,0.000173
4.045,-0.009271,0.024279
4.05,-0.026954,0.001933
4.055,-0.005006,-0.007711
4.06,0.004728,0.001556
4.065,-0.016034,0.004263
4.07,0.005838,0.013095
4.075,-0.00915,0.014704
4.08,-0.002952,-0.01976
4.085,0.007846,-0.000816
4.09,-0.013235,0.009332
4.095,-0.007074,0.010169
4.1,-0.001241,0.007503
4.105,0.010192,0.004732
4.11,-0.015481,0.009197
4.115,0.000326,0.020023
4.12,0.00718,0.007511
4.125,-0.011473,-0.004061
4.13,0.001451,-0.011705
4.135,-0.017554,-0.001086
4.14,-0.001168,0.002021
4.145,0.016757,-0.004003
4.15,0.010213,-0.001446
4.155,-0.00291,0.002571
4.16,-0.031016,0.000664
4.165,-0.009574,-0.009298
4.17,-0.028305,-0.004429
4.175,-0.028162,0.008701
4.18,-0.00359,-0.016821
4.185,-0.010103,0.00755
4.19,-0.008923,-0.002812
4.195,-0.005538,-0.001283
4.2,-0.025497,-0.000455
4.205,-0.008371,0.029538
4.21,-0.003195,-0.004556
4.215,0.014827,-0.00156
4.22,0.0038,-0.008741
4.225,0.023328,-0.006277
4.23,0.00563,0.011324
4.235,-0.004568,-1e-06
4.24,0.008798,0.006827
4.245,-0.016351,0.001815
4.25,-0.014181,-0.007454
4.255,-0.009726,0.01216
4.26,0.023949,0.026055
4.265,-0.000848,-0.008414
4.27,-0.014542,0.016075
4.275,-0.023076,-0.00317
4.28,-0.008491,0.0175
4.285,-0.0152,0.011017
4.29,0.0197,-0.001668
4.295,0.006982,-0.015387
4.3,-0.001323,-0.00215
4.305,-0.038694,0.004154
4.31,0.005327,-0.016934
4.315,-0.021184,-0.007493
4.32,-0.007938,-0.003064
4.325,-0.014372,-0.010079
4.33,0.004598,-0.004752
4.335,-0.001602,-0.002297
4.34,0.006858,-0.001543
4.345,0.012923,0.00103
4.35,0.013336,0.012471
4.355,-0.021907,0.00922
4.36,0.026742,-0.009725
4.365,-0.000478,-0.003572
4.37,0.006613,0.0052
4.375,-0.010039,0.013126
4.38,-0.01285,-0.001383
4.385,0.015354,0.019534
4.39,-0.00769,0.007823
4.395,0.003301,-0.015824
4.4,-0.014328,-0.012048
4.405,-0.00755,-0.004168
4.41,0.000419,0.012777
4.415,0.006337,0.026531
4.42,-0.003651,0.007893
4.425,0.006216,0.015066
4.43,-0.005681,0.008453
4.435,0.024436,-0.007208
4.44,-0.001123,0.005043
4.445,-0.006522,-0.008752
4.45,0.027491,-0.002297
4.455,0.026011,-0.005084
4.46,-0.003106,0.007971
4.465,-0.00309,-0.008989
4.47,-0.010799,0.002727
4.475,-0.009992,0.000881
4.48,-0.033859,-0.005581
4.485,-0.002705,-0.005126
4.49,-0.014904,-0.008835
4.495,0.001058,0.014871
4.5,-0.020976,-0.002763
4.505,0.014656,0.003345
4.51,0.000199,-0.001011
4.515,-0.029244,0.012911
4.52,0.012073,0.024486
4.525,0.005438,-0.002367
4.53,-0.005924,-0.023158
4.535,0.006889,-0.004192
4.54,-0.013996,0.007052
4.545,0.027438,-0.00917
4.55,0.03345,0.01782
4.555,-0.016862,-0.003136
4.56,-0.00962,0.001306
4.565,-0.011185,0.001969
4.57,0.004923,-0.01253
4.575,0.019786,-0.016754
4.58,0.019081,0.007712
4.585,-0.005053,0.006758
4.59,0.000879,-0.024811
4.595,0.021789,0.001046
4.6,0.00946,0.005791
4.605,0.018496,-0.009548
4.61,0.010844,-0.004204
4.615,0.005783,0.004293
4.62,-0.016345,0.006371
4.625,-0.005404,-0.006018
4.63,0.004341,-0.002952
